Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
ON44465,California,0,Extended,High School or Below,1/24/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
TV87155,Oregon,0,Basic,High School or Below,2/24/11,Employed,0,Urban,Married,Personal ,Offer1,Branch,Four-Door Car,Large
KH48895,Arizona,0,Basic,Master or more,2/15/11,Unemployed,0,Rural,Married,Personal ,Offer1,Branch,SUV,Medsize
NZ30757,California,0,Basic,High School or Below,2/16/11,Unemployed,1,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
RI22468,Arizona,0,Basic,High School or Below,1/22/11,Employed,0,Urban,Married,Personal ,Offer3,Web,Four-Door Car,Medsize
FZ30935,Oregon,0,Extended,High School or Below,2/25/11,Employed,1,Urban,Married,Personal ,Offer1,Agent,Two-Door Car,Small
UG93476,California,1,Basic,High School or Below,1/11/11,Unemployed,0,Urban,Married,Personal ,Offer1,Agent,SUV,Medsize
AB96670,California,1,Basic,High School or Below,1/31/11,Unemployed,1,Urban,Single,Personal ,Offer1,Branch,Four-Door Car,Medsize
XK64261,Oregon,0,Basic,High School or Below,1/12/11,Employed,1,Rural,Single,Corporate ,Offer3,Call Center,Two-Door Car,Medsize
EV68375,California,1,Premium,High School or Below,2/16/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,Four-Door Car,Medsize
UN51653,California,0,Extended,High School or Below,2/9/11,Unemployed,0,Urban,Single,Personal ,Offer1,Web,SUV,Medsize
TO96662,Oregon,0,Extended,High School or Below,1/19/11,Employed,0,Rural,Married,Personal ,Offer1,Call Center,Four-Door Car,Small
MR52087,California,0,Basic,High School or Below,1/4/11,Employed,0,Rural,Married,Personal ,Offer3,Branch,Four-Door Car,Medsize
DE75225,Oregon,0,Basic,High School or Below,1/9/11,Unemployed,1,Urban,Married,Personal ,Offer1,Agent,SUV,Medsize
EP80820,California,0,Basic,High School or Below,1/27/11,Employed,0,Rural,Married,Personal ,Offer1,Agent,Two-Door Car,Medsize
GU99037,Oregon,0,Basic,High School or Below,2/14/11,Employed,1,Urban,Married,Corporate ,Offer4,Agent,Four-Door Car,Medsize
WI57118,California,0,Extended,High School or Below,2/27/11,Employed,1,Urban,Married,Personal ,Offer4,Agent,Four-Door Car,Small
YQ74870,Washington,0,Extended,High School or Below,2/12/11,Employed,1,Urban,Single,Corporate ,Offer2,Web,Four-Door Car,Small
MQ14219,Arizona,0,Basic,High School or Below,2/26/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,SUV,Medsize
KN20603,Oregon,0,Basic,High School or Below,2/20/11,Employed,1,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
CR48975,Washington,0,Basic,High School or Below,2/2/11,Employed,1,Urban,Married,Personal ,Offer4,Branch,Four-Door Car,Medsize
JI70886,California,0,Basic,High School or Below,2/15/11,Unemployed,1,Urban,Married,Corporate ,Offer1,Agent,SUV,Medsize
VF72557,Oregon,1,Extended,High School or Below,2/18/11,Unemployed,1,Urban,Single,Personal ,Offer2,Agent,SUV,Medsize
OX28638,Arizona,0,Extended,High School or Below,1/21/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,Two-Door Car,Medsize
SK55033,California,0,Basic,High School or Below,1/15/11,Employed,0,Urban,Single,Personal ,Offer3,Agent,Two-Door Car,Medsize
OO88645,California,0,Extended,High School or Below,2/5/11,Employed,0,Urban,Married,Corporate ,Offer2,Call Center,Four-Door Car,Medsize
YT36855,Washington,0,Extended,High School or Below,2/24/11,Unemployed,1,Urban,Married,Personal ,Offer3,Web,Two-Door Car,Medsize
CW82151,California,0,Basic,High School or Below,1/5/11,Employed,1,Rural,Married,Personal ,Offer1,Call Center,Sports Car,Medsize
DY22043,Oregon,0,Basic,High School or Below,1/28/11,Employed,0,Urban,Married,Personal ,Offer3,Branch,Two-Door Car,Small
SH36774,California,0,Basic,High School or Below,1/12/11,Employed,1,Urban,Single,Personal ,Offer3,Web,Luxury SUV,Medsize
EM43724,Nevada,0,Basic,High School or Below,2/16/11,Employed,0,Rural,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
FH85960,Oregon,0,Premium,High School or Below,1/3/11,Employed,1,Urban,Single,Personal ,Offer1,Call Center,Four-Door Car,Medsize
XA55993,Oregon,0,Extended,Master or more,2/7/11,Employed,0,Rural,Single,Personal ,Offer2,Branch,Four-Door Car,Medsize
GO36627,Arizona,0,Extended,High School or Below,1/13/11,Employed,1,Urban,Married,Special ,Offer1,Branch,Four-Door Car,Medsize
QH48047,Oregon,1,Basic,High School or Below,1/3/11,Unemployed,1,Urban,Single,Personal ,Offer2,Web,Four-Door Car,Medsize
RB50392,Washington,0,Basic,Master or more,2/17/11,Unemployed,0,Rural,Married,Personal ,Offer2,Agent,Four-Door Car,Medsize
UH65059,Arizona,0,Basic,High School or Below,1/21/11,Employed,1,Urban,Married,Personal ,Offer1,Agent,Sports Car,Medsize
FV21968,Nevada,0,Basic,High School or Below,1/26/11,Employed,0,Rural,Married,Special ,Offer1,Branch,Four-Door Car,Medsize
QA87025,Oregon,0,Basic,High School or Below,1/31/11,Employed,0,Urban,Married,Personal ,Offer1,Call Center,Four-Door Car,Medsize
TQ13499,Arizona,0,Premium,High School or Below,1/2/11,Employed,1,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Small
BU44523,Arizona,0,Basic,High School or Below,2/7/11,Unemployed,0,Urban,Single,Corporate ,Offer1,Web,Four-Door Car,Small
MS41162,Arizona,0,Basic,High School or Below,1/26/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,SUV,Medsize
PU25891,Oregon,0,Basic,High School or Below,1/11/11,Employed,0,Rural,Married,Special ,Offer1,Branch,Sports Car,Medsize
RB81636,Washington,0,Basic,High School or Below,1/15/11,Unemployed,0,Urban,Single,Personal ,Offer2,Agent,Four-Door Car,Small
SX26335,Oregon,0,Extended,High School or Below,2/8/11,Employed,0,Urban,Married,Personal ,Offer4,Branch,Four-Door Car,Medsize
AZ95587,Arizona,0,Extended,High School or Below,1/11/11,Employed,0,Urban,Single,Special ,Offer3,Branch,Four-Door Car,Small
DS81757,Oregon,0,Basic,High School or Below,1/9/11,Unemployed,1,Urban,Single,Personal ,Offer4,Web,Two-Door Car,Large
OJ94107,Arizona,0,Premium,Master or more,2/4/11,Employed,1,Urban,Married,Personal ,Offer1,Call Center,SUV,Medsize
LP84436,California,0,Extended,High School or Below,1/21/11,Unemployed,0,Urban,Single,Personal ,Offer3,Branch,Sports Car,Medsize
YV64727,Washington,0,Premium,High School or Below,2/16/11,Employed,1,Urban,Married,Corporate ,Offer3,Agent,SUV,Medsize
LM19287,Oregon,1,Extended,High School or Below,2/24/11,Unemployed,0,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Large
ZU18643,Nevada,0,Extended,High School or Below,1/18/11,Employed,1,Urban,Married,Corporate ,Offer4,Web,Four-Door Car,Medsize
AZ82578,California,0,Basic,High School or Below,1/30/11,Unemployed,0,Urban,Married,Corporate ,Offer1,Call Center,Four-Door Car,Medsize
XC67861,Arizona,0,Basic,High School or Below,1/9/11,Employed,0,Urban,Single,Corporate ,Offer1,Call Center,Two-Door Car,Medsize
YC43143,Arizona,0,Extended,High School or Below,2/1/11,Employed,0,Rural,Married,Personal ,Offer2,Web,Four-Door Car,Medsize
EK59571,Oregon,1,Premium,High School or Below,2/28/11,Unemployed,1,Urban,Married,Corporate ,Offer1,Branch,Four-Door Car,Large
GD83998,Washington,0,Basic,High School or Below,1/31/11,Employed,1,Urban,Single,Personal ,Offer4,Branch,Four-Door Car,Small
WA25797,Washington,1,Basic,High School or Below,2/17/11,Employed,1,Rural,Married,Personal ,Offer2,Agent,Sports Car,Medsize
PD27940,Arizona,0,Extended,High School or Below,2/12/11,Unemployed,1,Urban,Married,Personal ,Offer4,Agent,SUV,Medsize
BS77946,Arizona,0,Extended,High School or Below,2/24/11,Unemployed,0,Rural,Married,Personal ,Offer1,Branch,SUV,Medsize
YM50253,California,0,Basic,High School or Below,2/1/11,Employed,0,Urban,Single,Personal ,Offer2,Branch,Four-Door Car,Medsize
NR15332,California,0,Basic,High School or Below,2/6/11,Employed,1,Urban,Married,Personal ,Offer2,Web,Four-Door Car,Small
RC62865,Oregon,0,Extended,High School or Below,1/23/11,Employed,1,Rural,Single,Personal ,Offer3,Agent,Four-Door Car,Medsize
CC15295,Oregon,0,Extended,High School or Below,1/21/11,Employed,0,Urban,Married,Personal ,Offer2,Agent,Four-Door Car,Small
KA61892,Arizona,1,Basic,High School or Below,1/20/11,Unemployed,1,Urban,Married,Personal ,Offer2,Agent,Sports Car,Medsize
OS94884,Arizona,0,Basic,High School or Below,1/6/11,Employed,0,Rural,Married,Personal ,Offer1,Web,Two-Door Car,Large
ND87334,California,0,Basic,High School or Below,2/22/11,Unemployed,1,Urban,Married,Corporate ,Offer2,Agent,Two-Door Car,Medsize
ML93326,Washington,0,Basic,High School or Below,2/27/11,Employed,0,Urban,Married,Personal ,Offer1,Agent,SUV,Medsize
YL74911,California,1,Basic,High School or Below,2/21/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,SUV,Medsize
JP69864,Washington,1,Basic,High School or Below,1/29/11,Unemployed,0,Urban,Single,Personal ,Offer1,Branch,Four-Door Car,Medsize
HL53154,California,0,Extended,High School or Below,2/22/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
RI78966,Oregon,0,Basic,Master or more,2/21/11,Unemployed,1,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Small
IC13702,California,0,Basic,High School or Below,1/10/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Small
BE10809,California,1,Basic,High School or Below,1/18/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Small
HT87217,Oregon,0,Extended,High School or Below,1/16/11,Employed,0,Urban,Single,Personal ,Offer3,Agent,Four-Door Car,Medsize
TH95618,California,0,Basic,High School or Below,1/6/11,Unemployed,0,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
TS19868,California,0,Basic,High School or Below,1/27/11,Unemployed,1,Urban,Married,Personal ,Offer4,Branch,Four-Door Car,Medsize
LP45550,Oregon,0,Premium,Master or more,1/15/11,Unemployed,0,Urban,Single,Personal ,Offer2,Agent,Four-Door Car,Medsize
QR87004,Nevada,0,Basic,High School or Below,1/9/11,Employed,0,Rural,Single,Personal ,Offer3,Agent,Four-Door Car,Medsize
OE75747,Nevada,0,Basic,High School or Below,1/28/11,Unemployed,0,Urban,Married,Personal ,Offer3,Agent,Four-Door Car,Small
DX91392,California,1,Basic,High School or Below,2/26/11,Employed,1,Urban,Single,Personal ,Offer2,Call Center,Four-Door Car,Medsize
AB72731,California,0,Basic,High School or Below,1/4/11,Employed,0,Rural,Married,Personal ,Offer2,Call Center,Sports Car,Medsize
RU49126,Washington,0,Basic,High School or Below,2/1/11,Employed,0,Rural,Married,Personal ,Offer2,Agent,SUV,Medsize
IS12901,Arizona,0,Basic,High School or Below,1/27/11,Employed,0,Urban,Married,Personal ,Offer2,Call Center,Two-Door Car,Medsize
IX37561,Washington,0,Basic,High School or Below,2/14/11,Unemployed,0,Urban,Single,Personal ,Offer3,Web,Two-Door Car,Medsize
HH90090,California,0,Basic,High School or Below,1/23/11,Employed,0,Urban,Single,Personal ,Offer2,Call Center,Sports Car,Small
IU25463,California,0,Premium,High School or Below,2/18/11,Unemployed,0,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
KC11055,Nevada,0,Extended,High School or Below,1/24/11,Employed,0,Urban,Married,Personal ,Offer3,Branch,Luxury Car,Medsize
PD33979,Oregon,0,Basic,High School or Below,2/18/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,Four-Door Car,Large
NK71023,Nevada,0,Extended,High School or Below,1/19/11,Employed,1,Urban,Single,Personal ,Offer4,Agent,Four-Door Car,Small
AB13432,California,0,Basic,High School or Below,1/4/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,SUV,Medsize
OZ97704,California,0,Basic,High School or Below,2/7/11,Employed,0,Urban,Single,Personal ,Offer3,Call Center,SUV,Small
UF46533,California,0,Basic,High School or Below,1/30/11,Employed,0,Urban,Single,Corporate ,Offer2,Branch,SUV,Medsize
XP47431,Arizona,1,Extended,High School or Below,2/17/11,Employed,0,Urban,Married,Personal ,Offer2,Agent,SUV,Medsize
GK73582,California,0,Extended,High School or Below,1/13/11,Employed,0,Urban,Single,Personal ,Offer3,Branch,Four-Door Car,Medsize
RV98763,Oregon,0,Extended,High School or Below,2/8/11,Employed,1,Urban,Married,Personal ,Offer3,Branch,Four-Door Car,Medsize
II62831,California,0,Basic,Master or more,1/29/11,Employed,1,Urban,Married,Special ,Offer4,Web,SUV,Medsize
XK33449,California,0,Basic,High School or Below,2/5/11,Unemployed,0,Urban,Single,Special ,Offer4,Branch,Two-Door Car,Small
TR85083,California,0,Basic,High School or Below,1/20/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,Two-Door Car,Medsize
EO95328,Oregon,0,Basic,High School or Below,1/27/11,Employed,0,Urban,Married,Personal ,Offer4,Agent,Two-Door Car,Small
EN21086,Arizona,0,Basic,High School or Below,1/9/11,Unemployed,0,Urban,Single,Personal ,Offer1,Branch,Four-Door Car,Small
YL83902,Washington,0,Extended,High School or Below,1/11/11,Employed,0,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Small
AZ62651,Oregon,0,Premium,High School or Below,2/17/11,Employed,1,Urban,Single,Corporate ,Offer4,Web,Luxury SUV,Medsize
ZW25874,Oregon,0,Basic,High School or Below,2/16/11,Employed,1,Rural,Single,Special ,Offer1,Branch,Four-Door Car,Medsize
EH41854,Washington,0,Extended,High School or Below,2/10/11,Unemployed,0,Urban,Single,Personal ,Offer3,Branch,Two-Door Car,Medsize
MW70227,California,1,Extended,High School or Below,2/19/11,Employed,1,Urban,Married,Personal ,Offer1,Branch,Four-Door Car,Medsize
SL22297,California,0,Premium,Master or more,1/21/11,Unemployed,0,Urban,Single,Personal ,Offer1,Call Center,SUV,Medsize
RV14138,Nevada,1,Extended,High School or Below,2/27/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,SUV,Medsize
UO62808,Arizona,0,Basic,High School or Below,2/4/11,Employed,0,Urban,Married,Corporate ,Offer2,Call Center,Four-Door Car,Medsize
ZX64745,California,0,Basic,High School or Below,1/18/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,SUV,Medsize
FL34139,California,0,Basic,High School or Below,2/3/11,Unemployed,1,Urban,Single,Personal ,Offer1,Call Center,Four-Door Car,Medsize
TS11219,California,0,Basic,High School or Below,1/2/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,SUV,Medsize
XX12304,California,0,Basic,High School or Below,1/9/11,Employed,0,Urban,Married,Personal ,Offer2,Branch,Four-Door Car,Medsize
