,customer,state,response,coverage,education,effective_to_date,employmentstatus,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,gender_f,gender_m,policy_combined,corporate_auto,personal_auto,special_auto
22,YH23384,Arizona,1,Basic,Bachelor,2011-01-26,Medical Leave,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
23,TZ98966,Nevada,0,Basic,Bachelor,2011-02-24,Unemployed,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
24,HM55802,California,0,Basic,Bachelor,2011-02-05,Disabled,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
25,FS42516,Oregon,0,Basic,College,2011-01-29,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,0,1,Personal Auto_L3,0,1,0
26,US89481,California,0,Premium,Bachelor,2011-02-28,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
27,HO30839,Washington,0,Extended,Master,2011-02-12,Disabled,Urban,Married,Offer1,Branch,SUV,Medsize,1,0,Corporate Auto_L1,1,0,0
28,GE62437,Arizona,0,Premium,College,2011-02-02,Employed,Suburban,Single,Offer1,Call Center,Four-Door Car,Large,1,0,Personal Auto_L3,0,1,0
29,EJ77678,Oregon,0,Extended,Master,2011-02-07,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
30,SV85652,Arizona,0,Basic,College,2011-02-28,Employed,Suburban,Married,Offer4,Call Center,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0
31,UL64533,Nevada,0,Extended,High School or Below,2011-01-22,Employed,Urban,Married,Offer2,Agent,Luxury SUV,Medsize,0,1,Corporate Auto_L2,1,0,0
32,PF41800,California,0,Basic,Bachelor,2011-01-25,Unemployed,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
33,AO98601,Washington,0,Basic,Bachelor,2011-01-18,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Small,0,1,Corporate Auto_L2,1,0,0
34,SK67821,Oregon,0,Basic,Bachelor,2011-02-13,Employed,Rural,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Corporate Auto_L1,1,0,0
35,YV55495,Arizona,0,Basic,High School or Below,2011-01-15,Employed,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
36,KY38074,California,0,Premium,Bachelor,2011-01-08,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
37,DM79012,Oregon,0,Extended,Master,2011-02-06,Employed,Suburban,Married,Offer2,Web,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
38,CM61827,Oregon,0,Extended,Bachelor,2011-01-25,Unemployed,Suburban,Single,Offer3,Agent,Two-Door Car,Small,0,1,Personal Auto_L2,0,1,0
39,WC35801,Arizona,0,Basic,High School or Below,2011-02-07,Employed,Rural,Divorced,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
40,QG25316,Nevada,0,Basic,High School or Below,2011-01-18,Unemployed,Suburban,Married,Offer3,Call Center,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
41,MB98372,Oregon,1,Basic,College,2011-01-11,Employed,Rural,Single,Offer2,Agent,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
42,IL19217,California,1,Extended,Bachelor,2011-01-28,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L2,0,1,0
43,SR38658,Arizona,0,Basic,High School or Below,2011-02-08,Employed,Suburban,Married,Offer4,Agent,Sports Car,Medsize,0,1,Personal Auto_L2,0,1,0
44,DH41343,Washington,0,Basic,College,2011-02-23,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,0,1,Special Auto_L2,0,0,1
45,HG65722,Oregon,0,Premium,Doctor,2011-01-25,Disabled,Rural,Married,Offer1,Branch,SUV,Medsize,1,0,Personal Auto_L2,0,1,0
46,BU27331,Arizona,0,Basic,Bachelor,2011-01-31,Unemployed,Suburban,Single,Offer3,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
47,XM45289,Oregon,0,Basic,High School or Below,2011-01-02,Employed,Suburban,Single,Offer4,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
48,KP34198,California,0,Extended,Bachelor,2011-02-07,Unemployed,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
49,SH90947,Arizona,0,Basic,High School or Below,2011-01-18,Unemployed,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
50,WE95729,Oregon,0,Basic,College,2011-01-17,Employed,Suburban,Married,Offer1,Agent,SUV,Small,0,1,Personal Auto_L2,0,1,0
51,PY51963,California,1,Basic,Bachelor,2011-01-11,Employed,Suburban,Divorced,Offer1,Web,SUV,Medsize,1,0,Corporate Auto_L1,1,0,0
52,RB69909,Nevada,0,Basic,High School or Below,2011-02-21,Employed,Rural,Married,Offer4,Branch,Four-Door Car,Medsize,1,0,Special Auto_L1,0,0,1
53,XR95069,Washington,0,Basic,Bachelor,2011-02-16,Employed,Suburban,Single,Offer4,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
54,FR46645,California,0,Premium,Bachelor,2011-01-17,Disabled,Suburban,Married,Offer1,Branch,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0
55,SY17488,Arizona,0,Extended,College,2011-02-05,Employed,Suburban,Divorced,Offer3,Call Center,Four-Door Car,Small,1,0,Corporate Auto_L3,1,0,0
56,AP67935,California,0,Basic,College,2011-02-13,Employed,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1
57,FS37417,Arizona,0,Basic,High School or Below,2011-02-23,Unemployed,Suburban,Married,Offer1,Call Center,SUV,Small,1,0,Personal Auto_L2,0,1,0
58,ML29312,Oregon,0,Extended,High School or Below,2011-01-28,Disabled,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
59,UB61619,Oregon,0,Premium,Master,2011-02-28,Disabled,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
60,CD86811,Arizona,1,Basic,Bachelor,2011-01-02,Retired,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
61,RU83859,California,0,Premium,Bachelor,2011-01-22,Medical Leave,Suburban,Married,Offer1,Call Center,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0
62,FG63582,Oregon,0,Extended,Bachelor,2011-01-15,Unemployed,Suburban,Single,Offer1,Agent,Two-Door Car,Small,0,1,Personal Auto_L3,0,1,0
63,NN71951,California,0,Basic,High School or Below,2011-01-27,Employed,Rural,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
64,WB37082,Arizona,0,Basic,Bachelor,2011-01-23,Unemployed,Suburban,Single,Offer3,Branch,Four-Door Car,Large,1,0,Personal Auto_L3,0,1,0
65,SM52139,Washington,0,Basic,College,2011-01-31,Employed,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
66,FL82372,Oregon,0,Basic,College,2011-01-26,Employed,Suburban,Divorced,Offer1,Agent,SUV,Medsize,1,0,Corporate Auto_L3,1,0,0
67,DP45816,Arizona,0,Extended,High School or Below,2011-01-10,Employed,Urban,Married,Offer4,Branch,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0
68,GW33762,Oregon,1,Extended,Bachelor,2011-01-27,Unemployed,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Large,1,0,Personal Auto_L3,0,1,0
69,RZ33670,California,0,Premium,College,2011-01-09,Disabled,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
70,PY70169,Oregon,0,Basic,High School or Below,2011-02-24,Employed,Rural,Divorced,Offer4,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
71,MO91628,Oregon,0,Basic,Master,2011-02-11,Employed,Rural,Married,Offer2,Web,Two-Door Car,Large,0,1,Personal Auto_L2,0,1,0
72,HW87852,Oregon,0,Basic,Master,2011-02-12,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
73,HB20453,Oregon,0,Basic,Bachelor,2011-02-04,Unemployed,Suburban,Single,Offer1,Agent,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0
74,BN87372,Oregon,1,Basic,Bachelor,2011-01-18,Employed,Suburban,Divorced,Offer2,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
75,YX23800,Oregon,0,Basic,Bachelor,2011-02-11,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
76,DZ87709,Oregon,0,Basic,High School or Below,2011-02-01,Employed,Rural,Single,Offer2,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
77,XW13033,Nevada,0,Basic,College,2011-02-15,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
78,LN31673,Washington,0,Extended,College,2011-02-06,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
79,OM82309,California,0,Basic,Bachelor,2011-02-27,Employed,Rural,Single,Offer2,Branch,Luxury Car,Small,0,1,Personal Auto_L3,0,1,0
80,ZU35962,California,0,Extended,College,2011-01-26,Unemployed,Rural,Single,Offer3,Branch,Two-Door Car,Large,1,0,Personal Auto_L3,0,1,0
81,VH85817,California,1,Basic,High School or Below,2011-02-26,Employed,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
82,DT85712,California,0,Basic,Doctor,2011-01-27,Employed,Suburban,Married,Offer3,Branch,SUV,Medsize,0,1,Personal Auto_L1,0,1,0
83,YJ88573,Nevada,0,Basic,Master,2011-01-16,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,0,1,Personal Auto_L3,0,1,0
84,SQ19467,Oregon,0,Extended,College,2011-01-27,Disabled,Suburban,Single,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
85,HF88410,Washington,0,Basic,High School or Below,2011-02-28,Employed,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
86,ET79815,California,1,Extended,College,2011-01-25,Retired,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
87,QC35222,California,0,Basic,Bachelor,2011-01-01,Employed,Urban,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
88,CJ15590,Oregon,0,Basic,Bachelor,2011-02-01,Employed,Suburban,Divorced,Offer3,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
89,OI48267,California,1,Extended,College,2011-02-19,Employed,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
90,JY67916,Oregon,0,Premium,College,2011-01-27,Medical Leave,Suburban,Married,Offer2,Branch,Two-Door Car,Small,0,1,Personal Auto_L3,0,1,0
91,OE75231,Washington,1,Extended,Bachelor,2011-02-27,Employed,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
92,CZ33664,Oregon,0,Basic,Bachelor,2011-01-17,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
93,WK30175,Oregon,0,Basic,Bachelor,2011-02-10,Employed,Suburban,Married,Offer1,Branch,Two-Door Car,Small,0,1,Corporate Auto_L1,1,0,0
94,ON44465,California,0,Extended,High School or Below,2011-01-24,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
95,TV87155,Oregon,0,Basic,Bachelor,2011-02-24,Employed,Suburban,Married,Offer1,Branch,Four-Door Car,Large,1,0,Personal Auto_L3,0,1,0
96,KH48895,Arizona,0,Basic,Master,2011-02-15,Medical Leave,Rural,Married,Offer1,Branch,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
97,NZ30757,California,0,Basic,Bachelor,2011-02-16,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
98,RI22468,Arizona,0,Basic,Bachelor,2011-01-22,Employed,Urban,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
99,FZ30935,Oregon,0,Extended,College,2011-02-25,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Small,0,1,Personal Auto_L2,0,1,0
100,UG93476,California,1,Basic,College,2011-01-11,Unemployed,Suburban,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
101,AB96670,California,1,Basic,College,2011-01-31,Unemployed,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
102,XK64261,Oregon,0,Basic,Bachelor,2011-01-12,Employed,Rural,Single,Offer3,Call Center,Two-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
103,EV68375,California,1,Premium,College,2011-02-16,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
104,UN51653,California,0,Extended,High School or Below,2011-02-09,Unemployed,Suburban,Single,Offer1,Web,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
105,TO96662,Oregon,0,Extended,Bachelor,2011-01-19,Employed,Rural,Married,Offer1,Call Center,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
106,MR52087,California,0,Basic,Bachelor,2011-01-04,Employed,Rural,Married,Offer3,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
107,DE75225,Oregon,0,Basic,High School or Below,2011-01-09,Unemployed,Suburban,Married,Offer1,Agent,SUV,Medsize,0,1,Personal Auto_L1,0,1,0
108,EP80820,California,0,Basic,Bachelor,2011-01-27,Employed,Rural,Married,Offer1,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
109,GU99037,Oregon,0,Basic,College,2011-02-14,Employed,Urban,Married,Offer4,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0
110,WI57118,California,0,Extended,College,2011-02-27,Employed,Suburban,Married,Offer4,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
111,YQ74870,Washington,0,Extended,High School or Below,2011-02-12,Employed,Suburban,Divorced,Offer2,Web,Four-Door Car,Small,0,1,Corporate Auto_L2,1,0,0
112,MQ14219,Arizona,0,Basic,College,2011-02-26,Employed,Suburban,Married,Offer2,Branch,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
113,KN20603,Oregon,0,Basic,Bachelor,2011-02-20,Employed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
114,CR48975,Washington,0,Basic,High School or Below,2011-02-02,Employed,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
115,JI70886,California,0,Basic,High School or Below,2011-02-15,Unemployed,Suburban,Married,Offer1,Agent,SUV,Medsize,0,1,Corporate Auto_L2,1,0,0
116,VF72557,Oregon,1,Extended,High School or Below,2011-02-18,Retired,Suburban,Divorced,Offer2,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
117,OX28638,Arizona,0,Extended,High School or Below,2011-01-21,Employed,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
118,SK55033,California,0,Basic,Bachelor,2011-01-15,Employed,Suburban,Single,Offer3,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
119,OO88645,California,0,Extended,College,2011-02-05,Employed,Urban,Married,Offer2,Call Center,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
120,YT36855,Washington,0,Extended,College,2011-02-24,Unemployed,Suburban,Married,Offer3,Web,Two-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
121,CW82151,California,0,Basic,Bachelor,2011-01-05,Employed,Rural,Married,Offer1,Call Center,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0
122,DY22043,Oregon,0,Basic,High School or Below,2011-01-28,Employed,Suburban,Married,Offer3,Branch,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0
123,SH36774,California,0,Basic,High School or Below,2011-01-12,Employed,Suburban,Single,Offer3,Web,Luxury SUV,Medsize,0,1,Personal Auto_L3,0,1,0
124,EM43724,Nevada,0,Basic,Bachelor,2011-02-16,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
125,FH85960,Oregon,0,Premium,College,2011-01-03,Employed,Suburban,Divorced,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
126,XA55993,Oregon,0,Extended,Master,2011-02-07,Employed,Rural,Single,Offer2,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
127,GO36627,Arizona,0,Extended,College,2011-01-13,Employed,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1
128,QH48047,Oregon,1,Basic,College,2011-01-03,Retired,Suburban,Divorced,Offer2,Web,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
129,RB50392,Washington,0,Basic,Master,2011-02-17,Unemployed,Rural,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
130,UH65059,Arizona,0,Basic,High School or Below,2011-01-21,Employed,Suburban,Married,Offer1,Agent,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0
131,FV21968,Nevada,0,Basic,Bachelor,2011-01-26,Employed,Rural,Married,Offer1,Branch,Four-Door Car,Medsize,1,0,Special Auto_L2,0,0,1
132,QA87025,Oregon,0,Basic,Bachelor,2011-01-31,Employed,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
133,TQ13499,Arizona,0,Premium,College,2011-01-02,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
134,BU44523,Arizona,0,Basic,High School or Below,2011-02-07,Unemployed,Suburban,Single,Offer1,Web,Four-Door Car,Small,1,0,Corporate Auto_L2,1,0,0
135,MS41162,Arizona,0,Basic,High School or Below,2011-01-26,Unemployed,Suburban,Single,Offer1,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
136,PU25891,Oregon,0,Basic,High School or Below,2011-01-11,Employed,Rural,Married,Offer1,Branch,Sports Car,Medsize,1,0,Special Auto_L2,0,0,1
137,RB81636,Washington,0,Basic,College,2011-01-15,Unemployed,Suburban,Single,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L2,0,1,0
138,SX26335,Oregon,0,Extended,College,2011-02-08,Employed,Urban,Married,Offer4,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
139,AZ95587,Arizona,0,Extended,Bachelor,2011-01-11,Employed,Urban,Single,Offer3,Branch,Four-Door Car,Small,1,0,Special Auto_L3,0,0,1
140,DS81757,Oregon,0,Basic,College,2011-01-09,Unemployed,Suburban,Single,Offer4,Web,Two-Door Car,Large,0,1,Personal Auto_L1,0,1,0
141,OJ94107,Arizona,0,Premium,Master,2011-02-04,Employed,Urban,Married,Offer1,Call Center,SUV,Medsize,0,1,Personal Auto_L2,0,1,0
142,LP84436,California,0,Extended,High School or Below,2011-01-21,Unemployed,Suburban,Single,Offer3,Branch,Sports Car,Medsize,1,0,Personal Auto_L2,0,1,0
143,YV64727,Washington,0,Premium,High School or Below,2011-02-16,Employed,Suburban,Married,Offer3,Agent,SUV,Medsize,0,1,Corporate Auto_L3,1,0,0
144,LM19287,Oregon,1,Extended,High School or Below,2011-02-24,Unemployed,Suburban,Married,Offer1,Agent,Four-Door Car,Large,1,0,Personal Auto_L1,0,1,0
145,ZU18643,Nevada,0,Extended,Bachelor,2011-01-18,Employed,Urban,Married,Offer4,Web,Four-Door Car,Medsize,0,1,Corporate Auto_L2,1,0,0
146,AZ82578,California,0,Basic,College,2011-01-30,Unemployed,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
147,XC67861,Arizona,0,Basic,Bachelor,2011-01-09,Employed,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
148,YC43143,Arizona,0,Extended,High School or Below,2011-02-01,Employed,Rural,Married,Offer2,Web,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
149,EK59571,Oregon,1,Premium,College,2011-02-28,Unemployed,Suburban,Married,Offer1,Branch,Four-Door Car,Large,0,1,Corporate Auto_L2,1,0,0
150,GD83998,Washington,0,Basic,Bachelor,2011-01-31,Employed,Suburban,Single,Offer4,Branch,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0
151,WA25797,Washington,1,Basic,High School or Below,2011-02-17,Employed,Rural,Married,Offer2,Agent,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0
152,PD27940,Arizona,0,Extended,High School or Below,2011-02-12,Disabled,Suburban,Married,Offer4,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
153,BS77946,Arizona,0,Extended,Bachelor,2011-02-24,Medical Leave,Rural,Married,Offer1,Branch,SUV,Medsize,1,0,Personal Auto_L1,0,1,0
154,YM50253,California,0,Basic,Bachelor,2011-02-01,Employed,Urban,Single,Offer2,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
155,NR15332,California,0,Basic,High School or Below,2011-02-06,Employed,Suburban,Married,Offer2,Web,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0
156,RC62865,Oregon,0,Extended,College,2011-01-23,Employed,Rural,Single,Offer3,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
157,CC15295,Oregon,0,Extended,Bachelor,2011-01-21,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L2,0,1,0
158,KA61892,Arizona,1,Basic,College,2011-01-20,Retired,Suburban,Married,Offer2,Agent,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0
159,OS94884,Arizona,0,Basic,Bachelor,2011-01-06,Employed,Rural,Married,Offer1,Web,Two-Door Car,Large,1,0,Personal Auto_L2,0,1,0
160,ND87334,California,0,Basic,High School or Below,2011-02-22,Unemployed,Suburban,Married,Offer2,Agent,Two-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
161,ML93326,Washington,0,Basic,College,2011-02-27,Employed,Urban,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L1,0,1,0
162,YL74911,California,1,Basic,College,2011-02-21,Unemployed,Suburban,Divorced,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
163,JP69864,Washington,1,Basic,Bachelor,2011-01-29,Retired,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
164,HL53154,California,0,Extended,Bachelor,2011-02-22,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
165,RI78966,Oregon,0,Basic,Master,2011-02-21,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
166,IC13702,California,0,Basic,Bachelor,2011-01-10,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
